customer_id,first_name,last_name,email,signup_date,city
1,Ali,Yılmaz,ali.yılmaz@example.com,2023-11-24,Istanbul
2,Ayşe,Kaya,ayşe.kaya@example.com,2023-02-27,Istanbul
3,Mehmet,Demir,mehmet.demir@example.com,2023-01-13,Istanbul
4,Fatma,Çelik,fatma.çelik@example.com,2023-05-21,Istanbul
5,Ahmet,Şahin,ahmet.şahin@example.com,2023-05-06,Istanbul
6,Zeynep,Öztürk,zeynep.öztürk@example.com,2023-04-25,Istanbul
7,Hüseyin,Aydın,hüseyin.aydın@example.com,2023-03-13,Istanbul
8,Elif,Erdem,elif.erdem@example.com,2023-02-22,Istanbul
9,Murat,Koç,murat.koç@example.com,2023-12-13,Istanbul
10,Selin,Arslan,selin.arslan@example.com,2023-10-07,Istanbul
